No. of Cluster: 8
Cluster id:0
A (22.5613695, 88.4144755) 2017-02-22 05:00:00.0
B (22.5613695, 88.4144755) 2017-02-22 05:00:00.0
C (22.5613695, 88.4144755) 2017-02-22 05:00:00.0
F (22.5610081, 88.4145494) 2017-02-22 05:00:00.0
D (22.5610081, 88.4145494) 2017-02-22 05:00:00.0
E (22.5610081, 88.4145494) 2017-02-22 05:00:00.0
A (22.5609959, 88.4145324) 2017-02-22 05:01:00.0
B (22.5609959, 88.4145324) 2017-02-22 05:01:00.0
C (22.5609959, 88.4145324) 2017-02-22 05:01:00.0
D (22.5609959, 88.4145324) 2017-02-22 05:01:00.0
E (22.5609959, 88.4145324) 2017-02-22 05:01:00.0
F (22.5609959, 88.4145324) 2017-02-22 05:01:00.0
AA (22.5591925, 88.4132543) 2017-02-22 05:01:00.0
BB (22.5591925, 88.4132543) 2017-02-22 05:01:00.0
CC (22.5591925, 88.4132543) 2017-02-22 05:01:00.0
DD (22.5582228, 88.4120671) 2017-02-22 05:01:00.0
EE (22.5582228, 88.4120671) 2017-02-22 05:01:00.0
FF (22.5582228, 88.4120671) 2017-02-22 05:01:00.0
A (22.559725, 88.4111518) 2017-02-22 05:02:00.0
B (22.559725, 88.4111518) 2017-02-22 05:02:00.0
C (22.559725, 88.4111518) 2017-02-22 05:02:00.0
D (22.559725, 88.4111518) 2017-02-22 05:02:00.0
E (22.559725, 88.4111518) 2017-02-22 05:02:00.0
F (22.559725, 88.4111518) 2017-02-22 05:02:00.0
AA (22.5567135, 88.4116486) 2017-02-22 05:02:00.0
BB (22.5567135, 88.4116486) 2017-02-22 05:02:00.0
CC (22.5567135, 88.4116486) 2017-02-22 05:02:00.0
DD (22.556734, 88.4099395) 2017-02-22 05:02:00.0
EE (22.556734, 88.4099395) 2017-02-22 05:02:00.0
FF (22.556734, 88.4099395) 2017-02-22 05:02:00.0
A (22.556734, 88.4099395) 2017-02-22 05:03:00.0
B (22.556734, 88.4099395) 2017-02-22 05:03:00.0
C (22.556734, 88.4099395) 2017-02-22 05:03:00.0
D (22.556734, 88.4099395) 2017-02-22 05:03:00.0
E (22.556734, 88.4099395) 2017-02-22 05:03:00.0
F (22.556734, 88.4099395) 2017-02-22 05:03:00.0
Cluster id:1
AA (22.552602, 88.4063024) 2017-02-22 05:03:00.0
BB (22.552602, 88.4063024) 2017-02-22 05:03:00.0
CC (22.552602, 88.4063024) 2017-02-22 05:03:00.0
DD (22.5510885, 88.4038775) 2017-02-22 05:03:00.0
EE (22.5510885, 88.4038775) 2017-02-22 05:03:00.0
FF (22.5510885, 88.4038775) 2017-02-22 05:03:00.0
A (22.5498407, 88.402395) 2017-02-22 05:04:00.0
B (22.5498407, 88.402395) 2017-02-22 05:04:00.0
C (22.5498407, 88.402395) 2017-02-22 05:04:00.0
D (22.5498407, 88.402395) 2017-02-22 05:04:00.0
E (22.5498407, 88.402395) 2017-02-22 05:04:00.0
F (22.5498407, 88.402395) 2017-02-22 05:04:00.0
AA (22.5479702, 88.4003585) 2017-02-22 05:04:00.0
BB (22.5479702, 88.4003585) 2017-02-22 05:04:00.0
CC (22.5479702, 88.4003585) 2017-02-22 05:04:00.0
DD (22.5469533, 88.3999368) 2017-02-22 05:05:00.0
EE (22.5469533, 88.3999368) 2017-02-22 05:05:00.0
FF (22.5469533, 88.3999368) 2017-02-22 05:05:00.0
A (22.5469533, 88.3999368) 2017-02-22 05:05:00.0
B (22.5469533, 88.3999368) 2017-02-22 05:05:00.0
C (22.5469533, 88.3999368) 2017-02-22 05:05:00.0
Cluster id:2
AA (22.5440215, 88.3988122) 2017-02-22 05:05:00.0
BB (22.5440215, 88.3988122) 2017-02-22 05:05:00.0
CC (22.5440215, 88.3988122) 2017-02-22 05:05:00.0
D (22.5424697, 88.398421) 2017-02-22 05:05:00.0
E (22.5424697, 88.398421) 2017-02-22 05:05:00.0
F (22.5424697, 88.398421) 2017-02-22 05:05:00.0
G (22.5424697, 88.398421) 2017-02-22 05:06:00.0
H (22.5424697, 88.398421) 2017-02-22 05:06:00.0
I (22.5424697, 88.398421) 2017-02-22 05:06:00.0
A (22.5363643, 88.3967884) 2017-02-22 05:06:00.0
B (22.5363643, 88.3967884) 2017-02-22 05:06:00.0
C (22.5363643, 88.3967884) 2017-02-22 05:06:00.0
root (22.5424697, 88.398421) 2017-02-22 05:07:00.0
Cluster id:3
root (22.5323942, 88.3962988) 2017-02-22 05:07:00.0
root (22.5327166, 88.3961813) 2017-02-22 05:07:00.0
root (22.5323942, 88.3962988) 2017-02-22 05:08:00.0
root (22.5315272, 88.395875) 2017-02-22 05:08:00.0
root (22.529803, 88.3954439) 2017-02-22 05:08:00.0
root (22.5282545, 88.3951294) 2017-02-22 05:09:00.0
root (22.5264329, 88.3959956) 2017-02-22 05:09:00.0
root (22.5260665, 88.396602) 2017-02-22 05:09:00.0
root (22.5253992, 88.3960345) 2017-02-22 05:10:00.0
root (22.5253992, 88.3960348) 2017-02-22 05:10:00.0
root (22.5260665, 88.396602) 2017-02-22 05:10:00.0
Cluster id:4
root (22.5214798, 88.39828) 2017-02-22 05:11:00.0
root (22.5223606, 88.398421) 2017-02-22 05:11:00.0
root (22.5190181, 88.3993305) 2017-02-22 05:11:00.0
root (22.5159855, 88.401193) 2017-02-22 05:12:00.0
root (22.5142248, 88.4015769) 2017-02-22 05:12:00.0
Cluster id:5
root (22.5115792, 88.4002399) 2017-02-22 05:12:00.0
root (22.5101924, 88.4016993) 2017-02-22 05:13:00.0
root (22.5088921, 88.4016476) 2017-02-22 05:13:00.0
root (22.5045006, 88.3999368) 2017-02-22 05:14:00.0
root (22.5040519, 88.4009206) 2017-02-22 05:14:00.0
root (22.5036619, 88.400703) 2017-02-22 05:15:00.0
Cluster id:6
root (22.5017898, 88.4003341) 2017-02-22 05:15:00.0
root (22.4988203, 88.3996473) 2017-02-22 05:15:00.0
root (22.4973074, 88.399131) 2017-02-22 05:16:00.0
root (22.4971519, 88.3989881) 2017-02-22 05:16:00.0
root (22.4985242, 88.3981178) 2017-02-22 05:16:00.0
Cluster id:7
root (22.4928858, 88.3971029) 2017-02-22 05:17:00.0
root (22.4917274, 88.3963608) 2017-02-22 05:17:00.0
root (22.4899437, 88.3952385) 2017-02-22 05:17:00.0
root (22.4899144, 88.3951659) 2017-02-22 05:18:00.0
