No. of Cluster: 15
Cluster id:0
C (22.4418407, 88.3937579) 2017-04-17 07:24:00.0
A (22.4418585, 88.3936866) 2017-04-17 07:24:00.0
B (22.4418523, 88.393681) 2017-04-17 07:24:00.0
Cluster id:1
C (22.3498334, 88.4424925) 2017-04-17 08:29:00.0
A (22.3497651, 88.442442) 2017-04-17 08:29:00.0
A (22.349763, 88.4424447) 2017-04-17 08:29:00.0
B (22.3497587, 88.4424415) 2017-04-17 08:30:00.0
C (22.3497579, 88.4424413) 2017-04-17 08:30:00.0
A (22.3497586, 88.4424415) 2017-04-17 08:30:00.0
C (22.3497719, 88.4424467) 2017-04-17 08:30:00.0
B (22.3498353, 88.4424926) 2017-04-17 08:31:00.0
B (22.3498333, 88.4424922) 2017-04-17 08:31:00.0
C (22.3497656, 88.4424443) 2017-04-17 08:31:00.0
A (22.3498336, 88.4424923) 2017-04-17 08:31:00.0
B (22.3498333, 88.4424921) 2017-04-17 08:31:00.0
C (22.3498333, 88.4424921) 2017-04-17 08:32:00.0
A (22.3497656, 88.4424443) 2017-04-17 08:32:00.0
B (22.3497705, 88.4424456) 2017-04-17 08:32:00.0
C (22.3497719, 88.4424467) 2017-04-17 08:32:00.0
B (22.3497719, 88.4424467) 2017-04-17 08:32:00.0
C (22.3497656, 88.4424443) 2017-04-17 08:32:00.0
C (22.3497651, 88.4424414) 2017-04-17 08:32:00.0
A (22.3497719, 88.4424467) 2017-04-17 08:32:00.0
B (22.3497705, 88.4424456) 2017-04-17 08:32:00.0
C (22.3497719, 88.4424467) 2017-04-17 08:32:00.0
A (22.3497705, 88.4424456) 2017-04-17 08:33:00.0
C (22.3498336, 88.4424923) 2017-04-17 08:33:00.0
B (22.3498333, 88.4424922) 2017-04-17 08:33:00.0
C (22.3498336, 88.4424923) 2017-04-17 08:33:00.0
A (22.3497697, 88.4424428) 2017-04-17 08:33:00.0
A (22.3498333, 88.4424922) 2017-04-17 08:35:00.0
B (22.3497656, 88.4424443) 2017-04-17 08:35:00.0
A (22.3498336, 88.4424923) 2017-04-17 08:35:00.0
C (22.3498336, 88.4424923) 2017-04-17 08:36:00.0
B (22.3498338, 88.4424934) 2017-04-17 08:36:00.0
B (22.3497257, 88.4424259) 2017-04-17 08:29:00.0
C (22.3497554, 88.4424397) 2017-04-17 08:30:00.0
A (22.3497533, 88.4424385) 2017-04-17 08:30:00.0
B (22.3497498, 88.4424358) 2017-04-17 08:30:00.0
B (22.3497274, 88.4424226) 2017-04-17 08:30:00.0
A (22.3497358, 88.4424261) 2017-04-17 08:30:00.0
B (22.3497344, 88.442427) 2017-04-17 08:30:00.0
A (22.3497452, 88.4424276) 2017-04-17 08:31:00.0
B (22.3497421, 88.4424273) 2017-04-17 08:31:00.0
C (22.3497427, 88.44243) 2017-04-17 08:31:00.0
A (22.3497547, 88.4424366) 2017-04-17 08:31:00.0
A (22.3497464, 88.4424316) 2017-04-17 08:32:00.0
A (22.3497502, 88.4424366) 2017-04-17 08:32:00.0
B (22.3497493, 88.4424401) 2017-04-17 08:32:00.0
B (22.3497211, 88.4424236) 2017-04-17 08:33:00.0
A (22.3497493, 88.4424401) 2017-04-17 08:33:00.0
B (22.3497364, 88.4424291) 2017-04-17 08:33:00.0
C (22.3497402, 88.4424343) 2017-04-17 08:33:00.0
A (22.3497547, 88.4424387) 2017-04-17 08:33:00.0
C (22.3497307, 88.4424254) 2017-04-17 08:34:00.0
A (22.3497381, 88.442429) 2017-04-17 08:34:00.0
B (22.3497379, 88.4424278) 2017-04-17 08:34:00.0
C (22.349737, 88.4424257) 2017-04-17 08:34:00.0
A (22.3497307, 88.4424254) 2017-04-17 08:34:00.0
C (22.3497323, 88.4424221) 2017-04-17 08:34:00.0
A (22.3497341, 88.4424309) 2017-04-17 08:34:00.0
B (22.3497438, 88.4424297) 2017-04-17 08:34:00.0
